barcode	pathovar
barcode01	Xcr
barcode02	Xcr
barcode03	Xcr
barcode04	Xcr
barcode05	Xcc
barcode06	Xcc
barcode07	Xcc
barcode08	Xcc
barcode09	Xcc
barcode10	Xcc
barcode11	Xcc
barcode12	Xcc
barcode13	Xcc
barcode14	Xcr
barcode15	Xcr
barcode16	Xcc
barcode17	Xcc
barcode18	Xcc
barcode19	Xcc
barcode20	Xcc
barcode21	Xcc
barcode22	Xcc
barcode23	Xcc
barcode24	Xcc
barcode25	Xcc
barcode26	Xcc
barcode27	Xcc
barcode28	Xcc
barcode29	Xcc
barcode30	Xcc
barcode31	Xcr
barcode32	Xcr
barcode33	Xcc
barcode34	Xcc
barcode35	Xcc
barcode36	Xcr
barcode37	Xcr
barcode38	Xcc
barcode39	Xcc
barcode40	Xcc
barcode41	Xcr
barcode42	Xcr
barcode43	Xcr
barcode44	Xcr
barcode45	Xcr
barcode46	Xcr
barcode47	Xcr
barcode48	Xcr
barcode49	Xcr
barcode50	Xcc
barcode51	Xcr
barcode52	Xcr
barcode53	Xcr
barcode54	Xcr
barcode55	Xcr
barcode56	Xcr
barcode57	Xcr
barcode58	Xcr
barcode59	Xcr
barcode60	Xcr
barcode61	Xcr
barcode62	Xcr
barcode63	Xcr
barcode64	Xcr
barcode65	Xcr
barcode66	Xcr
barcode67	Xcc
barcode68	Xcc
barcode69	Xcr
barcode70	Xcr
barcode71	Xcc
barcode72	Xcc
barcode73	Xcc
barcode74	Xcc
barcode75	Xcc
barcode76	Xcc
barcode77	Xcc
barcode78	Xcc
barcode79	Xcc
barcode80	Xcc
barcode81	Xcr
barcode82	Xcc
barcode83	Xcr
barcode84	Xcc
barcode85	Xcc
barcode86	Xcc
barcode87	Xcc
barcode88	Xcc
barcode89	Xcr
barcode90	np
barcode91	Xcr
barcode92	Xcr
barcode93	Xcr
barcode94	Xcc
barcode95	Xcr
barcode96	Xcr
